"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 18:46:52 IST 2024","Mon May 27 18:47:04 IST 2024","12585","chromium","login.spec.ts","Hubstaff Login","","","is not able to login",""
"passed","Mon May 27 18:45:39 IST 2024","Mon May 27 18:45:59 IST 2024","20016","chromium","dashboard.spec.ts","Hubstaff Deshboard > is able to manage widgets","","","verify adding map works",""
"passed","Mon May 27 18:47:33 IST 2024","Mon May 27 18:47:42 IST 2024","8913","chromium","timesheets.spec.ts","Hubstaff Timesheets","","","is able to delete time",""
"passed","Mon May 27 18:45:59 IST 2024","Mon May 27 18:45:59 IST 2024","52","chromium","dashboard.spec.ts","Hubstaff Deshboard > is able to manage widgets","","","verify adding this week works",""
"passed","Mon May 27 18:47:09 IST 2024","Mon May 27 18:47:33 IST 2024","23818","chromium","timesheets.spec.ts","Hubstaff Timesheets","","","is able to add time to project",""
"passed","Mon May 27 18:46:17 IST 2024","Mon May 27 18:46:32 IST 2024","15257","chromium","login.spec.ts","Hubstaff Login","","","is able to login",""
"passed","Mon May 27 18:46:01 IST 2024","Mon May 27 18:46:08 IST 2024","6830","chromium","dashboard.spec.ts","Hubstaff Deshboard > is showing correct data","","","verify projects data is correct",""
"passed","Mon May 27 18:45:59 IST 2024","Mon May 27 18:46:01 IST 2024","1894","chromium","dashboard.spec.ts","Hubstaff Deshboard > is showing correct data","","","verify memebers data is correct",""
